"conflict_id","exclusion_id","conflict_type","department","detail","source_ids","requires_human_review"
"EXC-CONFLICT-53E3E62D4232B8DB","EXC-OFFICIAL-ELP-0085","excluded_contaminated_source","Canelones","extracción PDF concatenada: nombre y dirección mezclan decenas de filas","MSPR-065-2021","true"
"EXC-CONFLICT-4881611EE9FD8F6B","EXC-OFFICIAL-ELP-0181","excluded_contaminated_source","Florida","agrupación de origen defectuosa: mezcla ELP-0180 y ELP-0182","MIDES-047|MIDES-050|MSPR-041-2018|MSPR-084-2019|MSPR-129-2019|MSPR-091-2021|PACP-012","true"
"EXC-CONFLICT-CF6BBF8392A02158","EXC-CANDIDATE-BA169C2669D2991A","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:1","true"
"EXC-CONFLICT-A6B893816967F643","EXC-CANDIDATE-A6A38721A68E9C28","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:2","true"
"EXC-CONFLICT-9AC4909327721398","EXC-CANDIDATE-3F2A4961B0F7D753","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:3","true"
"EXC-CONFLICT-E47012E2BF367BE9","EXC-CANDIDATE-5296BAD3E45FA172","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:4","true"
"EXC-CONFLICT-042C4119D2088A55","EXC-CANDIDATE-0FC5B04B4FF39099","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:5","true"
"EXC-CONFLICT-9125CDABD1F0FD32","EXC-CANDIDATE-CC1BCF8EE2673119","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:6","true"
"EXC-CONFLICT-EE52FD5D133564F3","EXC-CANDIDATE-84FD3C33DC5A9E5B","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:7","true"
"EXC-CONFLICT-BFA8A95395B6BC80","EXC-CANDIDATE-1738DE799FFD143A","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:8","true"
"EXC-CONFLICT-3F9F30BBF2DE7E76","EXC-CANDIDATE-7D33A13CEB5A3B64","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:9","true"
"EXC-CONFLICT-610F2976A1694C39","EXC-CANDIDATE-597FD2D8586456CE","candidate_possible_duplicate","","Sugerencia possible_match; no se fusionó automáticamente.","candidate:10","true"
"EXC-CONFLICT-B6407728FC899171","EXC-CANDIDATE-597FD2D8586456CE","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:10","true"
"EXC-CONFLICT-175B2F0108A5B0CF","EXC-CANDIDATE-A94EE9E2C73BE944","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:11","true"
"EXC-CONFLICT-DBD892A0DF6686F3","EXC-CANDIDATE-9565C76BF06202F1","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:12","true"
"EXC-CONFLICT-5A1BC56A3B50353C","EXC-CANDIDATE-C3FB0FD168BE8BE0","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:13","true"
"EXC-CONFLICT-AA39EA4D2098CE59","EXC-CANDIDATE-C3FB0FD168BE8BE0","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:13","true"
"EXC-CONFLICT-C22EE9054EC79C1A","EXC-CANDIDATE-1E8B2E51C8FD1BF5","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:14","true"
"EXC-CONFLICT-4B1803828F70D9FE","EXC-CANDIDATE-1E8B2E51C8FD1BF5","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:14","true"
"EXC-CONFLICT-FD594A00788ED911","EXC-CANDIDATE-CA5C93314D98AEC3","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:15","true"
"EXC-CONFLICT-07BC1131BDDAF2B5","EXC-CANDIDATE-CA5C93314D98AEC3","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:15","true"
"EXC-CONFLICT-744D45059E2C3177","EXC-CANDIDATE-8F7DE37D85D4732A","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:16","true"
"EXC-CONFLICT-61D9E3B1808FE18D","EXC-CANDIDATE-8F7DE37D85D4732A","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:16","true"
"EXC-CONFLICT-8CA59D500CBF0B60","EXC-CANDIDATE-52DB8EDE00BCA13D","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:17","true"
"EXC-CONFLICT-FA84E21E9586DBAA","EXC-CANDIDATE-52DB8EDE00BCA13D","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:17","true"
"EXC-CONFLICT-29C3ACAC67A70751","EXC-CANDIDATE-5E1C228FD6B7EC36","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:18","true"
"EXC-CONFLICT-4386A6D1BBC6218D","EXC-CANDIDATE-5E1C228FD6B7EC36","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:18","true"
"EXC-CONFLICT-2312DC32D4316820","EXC-CANDIDATE-8CC0A84E0A508ADE","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:19","true"
"EXC-CONFLICT-16575FF569BB0F1D","EXC-CANDIDATE-8CC0A84E0A508ADE","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:19","true"
"EXC-CONFLICT-17A36B88BB78C269","EXC-CANDIDATE-487BBBC16B1414E8","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:20","true"
"EXC-CONFLICT-A26EF9551852B4F5","EXC-CANDIDATE-883F28D0E0DE0C2B","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:21","true"
"EXC-CONFLICT-05AF5B48296DD01C","EXC-CANDIDATE-883F28D0E0DE0C2B","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:21","true"
"EXC-CONFLICT-70485A1DB8C56A5F","EXC-CANDIDATE-9E5D281F159A7C64","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:22","true"
"EXC-CONFLICT-D331F3BE65C05FD9","EXC-CANDIDATE-114EC8AF14BD8D6E","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:23","true"
"EXC-CONFLICT-9FCFF059202B2B98","EXC-CANDIDATE-114EC8AF14BD8D6E","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:23","true"
"EXC-CONFLICT-5E4742DEFFFDECB5","EXC-CANDIDATE-4AFB7CBC0A7955A2","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:24","true"
"EXC-CONFLICT-ED4AE9AB13FE0AE8","EXC-CANDIDATE-4AFB7CBC0A7955A2","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:24","true"
"EXC-CONFLICT-8AF5725686D0DBBE","EXC-CANDIDATE-90168B1715CB1AB6","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:25","true"
"EXC-CONFLICT-62BA83E54026FA9A","EXC-CANDIDATE-90168B1715CB1AB6","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:25","true"
"EXC-CONFLICT-040F75870C06D25A","EXC-CANDIDATE-A037AEEA6F67A619","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:26","true"
"EXC-CONFLICT-58E864AA343A987C","EXC-CANDIDATE-A037AEEA6F67A619","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:26","true"
"EXC-CONFLICT-DE7588D689C87F89","EXC-CANDIDATE-71348CAD2596D9E7","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:27","true"
"EXC-CONFLICT-7E2D6B05D2179E9D","EXC-CANDIDATE-71348CAD2596D9E7","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:27","true"
"EXC-CONFLICT-889A3BD2C204309A","EXC-CANDIDATE-BD196CD762122307","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:28","true"
"EXC-CONFLICT-5B743008799F3925","EXC-CANDIDATE-7D5CF0C90BD3F3A4","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:29","true"
"EXC-CONFLICT-970B8D873E6871D9","EXC-CANDIDATE-7D5CF0C90BD3F3A4","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","candidate:29","true"
"EXC-CONFLICT-06FEA0FB57503A01","EXC-CANDIDATE-80CFAB3FA591CCB2","candidate_possible_duplicate","","Sugerencia needs_review; no se fusionó automáticamente.","candidate:30","true"
"EXC-CONFLICT-9C78085B7008E8F0","EXC-CANDIDATE-84FD3C33DC5A9E5B","candidate_possible_duplicate","","Sugerencia probable_match; no se fusionó automáticamente.","osm-review:openstreetmap:node/10671335950","true"
"EXC-CONFLICT-7C6A7B4F077FC9ED","EXC-CANDIDATE-597FD2D8586456CE","candidate_possible_duplicate","","Sugerencia probable_match; no se fusionó automáticamente.","osm-review:openstreetmap:node/12599439415","true"
"EXC-CONFLICT-69E6D353736F8F08","EXC-CANDIDATE-D2B3E3FA48FCCFB0","candidate_missing_exact_address","","La pista no tiene dirección física exacta; no es geocodificable todavía.","osm-review:openstreetmap:node/12599453403","true"
"EXC-CONFLICT-1D6E21D840C7787A","EXC-CANDIDATE-7D33A13CEB5A3B64","candidate_possible_duplicate","","Sugerencia probable_match; no se fusionó automáticamente.","osm-review:openstreetmap:node/13067352454","true"
"EXC-CONFLICT-E2EA10A1FC732250","EXC-CANDIDATE-3F2A4961B0F7D753","candidate_possible_duplicate","","Sugerencia probable_match; no se fusionó automáticamente.","osm-review:openstreetmap:node/13130842101","true"
"EXC-CONFLICT-C29E19DA5E35DDE8","EXC-CANDIDATE-BA169C2669D2991A","candidate_possible_duplicate","","Sugerencia probable_match; no se fusionó automáticamente.","osm-review:openstreetmap:node/5144543221","true"
"EXC-CONFLICT-1B24F6542769D482","EXC-CANDIDATE-A6A38721A68E9C28","candidate_possible_duplicate","","Sugerencia probable_match; no se fusionó automáticamente.","osm-review:openstreetmap:node/6404947885","true"
"EXC-CONFLICT-8BB29D37058D7700","EXC-CANDIDATE-1738DE799FFD143A","candidate_possible_duplicate","","Sugerencia probable_match; no se fusionó automáticamente.","osm-review:openstreetmap:node/6466087985","true"
"EXC-CONFLICT-5C4AD0EAE6BDA803","EXC-CANDIDATE-8EAD1D3B00183CDE","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:hogar-emanuel","false"
"EXC-CONFLICT-E8F679BE6C670ECB","EXC-CANDIDATE-1DE30AE96F13B558","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:lore-car","false"
"EXC-CONFLICT-3232722ACC88159C","EXC-CANDIDATE-19C3FD05CEBD0E8E","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:maria-carolina","false"
"EXC-CONFLICT-31CE052136DD34DE","EXC-CANDIDATE-A4ECEB19913258CE","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:como-en-casa:uruguay-1896","false"
"EXC-CONFLICT-E67066C408A90539","EXC-CANDIDATE-F8088BDC5625F27C","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:como-en-casa:bulevar-artigas-1237","false"
"EXC-CONFLICT-5765CC8FED6991D6","EXC-CANDIDATE-747BA4C4CEFE4EDF","candidate_missing_exact_address","Paysandú","La pista no tiene dirección física exacta; no es geocodificable todavía.","paysandu:instagram:paysandu:bellanova","true"
"EXC-CONFLICT-CB017597CED89E64","EXC-CANDIDATE-747BA4C4CEFE4EDF","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:bellanova","false"
"EXC-CONFLICT-6FE04A24A9DBE2FD","EXC-CANDIDATE-1E60981CADD62326","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:colibri","false"
"EXC-CONFLICT-4521AC6AD92FA372","EXC-CANDIDATE-EB4211BC6A004781","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:mi-sueno","false"
"EXC-CONFLICT-5C7F071F368D6767","EXC-CANDIDATE-C2415C148E197078","candidate_missing_exact_address","Paysandú","La pista no tiene dirección física exacta; no es geocodificable todavía.","paysandu:instagram:paysandu:casa-betel","true"
"EXC-CONFLICT-9AF62091C9A750B6","EXC-CANDIDATE-C2415C148E197078","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:casa-betel","false"
"EXC-CONFLICT-6041220CCE425C4E","EXC-CANDIDATE-5C6471DAF888D0A9","social_phone_not_retained_privacy_guard","Paysandú","Los teléfonos de la investigación social no se copian al índice hasta que una revisión humana los clasifique como contacto institucional.","paysandu:instagram:paysandu:santa-lucia","false"
