id,sources,source_external_ids,google_place_ids,name,department,locality,address,phone,website_url,lat,lng,operational_status,discovered_at,storage_policy,match_status,suggested_residencial_id,confidence,match_reasons,review_status,review_notes
RDC-e02c9d77af5775b3,serpapi,serpapi:ChIJuxvrHpkbdZUROfmDUTAxJZ4 | serpapi:ChIJuxvrHpkbdZUROfmDUTAxJZ4,ChIJuxvrHpkbdZUROfmDUTAxJZ4,(Porvenir). Hogar del adulto mayor,Paysandú,,"25 de Mayo 875, 20000 Maldonado, Departamento de Maldonado",098 478 397,,-34.9093519,-54.960288299999995,Abierto las 24 horas,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
RDC-61c342a09bcd5e9f,serpapi,serpapi:ChIJBeh6XABDrpURIxHWKzJGU5k | serpapi:ChIJBeh6XABDrpURIxHWKzJGU5k,ChIJBeh6XABDrpURIxHWKzJGU5k,🏡casa,Paysandú,,"Maciel 5, 60200 Quebracho, Departamento de Paysandú",,,-31.9412339,-57.9069041,,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
RDC-ae19cf518004596d,serpapi,serpapi:ChIJf4ChHQDLr5UR8QqXJuCohQc | serpapi:ChIJf4ChHQDLr5UR8QqXJuCohQc | serpapi:ChIJf4ChHQDLr5UR8QqXJuCohQc | serpapi:ChIJf4ChHQDLr5UR8QqXJuCohQc,ChIJf4ChHQDLr5UR8QqXJuCohQc,Ayacucho 1040,Paysandú,,"Continuacion Ayacucho 1040, 60000 Paysandú, Departamento de Paysandú",,,-32.311356499999995,-58.083900199999995,,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
RDC-76bfc9cab0122223,serpapi,serpapi:ChIJR5c_dQDbr5URd4T9M1w8-0A,ChIJR5c_dQDbr5URd4T9M1w8-0A,Casa Aurora: residencia para adultos mayores,Paysandú,,"J. J. Bruno 2460, Concepción del Uruguay, Entre Ríos, Argentina",+54 11 6991-1034,https://www.instagram.com/casaauroraresidencia,-32.4880344,-58.266315299999995,,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
RDC-5386be09ff7ed145,serpapi,serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI | serpapi:ChIJi-LdJsXJr5URIdEaDey4IJI,ChIJi-LdJsXJr5URIdEaDey4IJI,CASA BETEL,Paysandú,,"60000 Paysandú, Departamento de Paysandú",4724 6689,https://www.instagram.com/casabetel_2/,-32.348974999999996,-58.0978869,Abierto las 24 horas,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
RDC-e7ce7eaf288aaf5f,serpapi,serpapi:ChIJn_O7yujLr5URgncHngzWKLE,ChIJn_O7yujLr5URgncHngzWKLE,casa de salud Cianciarulo,Paysandú,,"MWW9+2HF, Av. Dr. Alberto D. Roldan, 60000 Paysandú, Departamento de Paysandú",,,-32.304935199999996,-58.081069,,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
RDC-411014ac5675d9c5,serpapi,serpapi:ChIJOW-DmFxPqJURXau9T6mIBtI,ChIJOW-DmFxPqJURXau9T6mIBtI,Casa del Sol,Paysandú,,"Ramón González 137, 45000 Tacuarembó, Departamento de Tacuarembó",4632 0646,,-31.722764599999998,-55.9768419,Abierto · Cierra a las 10:30 p. m.,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
RDC-27f98b4e7fbc75c2,serpapi,serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g | serpapi:ChIJFwfTAcLJr5UR5-mLh0XUA3g,ChIJFwfTAcLJr5UR5-mLh0XUA3g,Casa Hogar Cuidando Con Amor,Paysandú,,"Primer chacra, Diagonal a San Felix, 60000 Paysandú, Departamento de Paysandú",096 985 051,,-32.3362585,-58.092634999999994,Abierto las 24 horas,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
RDC-2b8781de5f4d8738,serpapi,serpapi:ChIJgaU3SADLr5URqbzhBBvYSIQ | serpapi:ChIJgaU3SADLr5URqbzhBBvYSIQ | serpapi:ChIJgaU3SADLr5URqbzhBBvYSIQ | serpapi:ChIJgaU3SADLr5URqbzhBBvYSIQ | serpapi:ChIJgaU3SADLr5URqbzhBBvYSIQ | serpapi:ChIJgaU3SADLr5URqbzhBBvYSIQ | serpapi:ChIJgaU3SADLr5URqbzhBBvYSIQ,ChIJgaU3SADLr5URqbzhBBvYSIQ,casa mia,Paysandú,,"PWCJ+CMG, 60000 Nuevo Paysandu, Departamento de Paysandú",,,-32.278939099999995,-58.068307499999996,,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
RDC-5a22bde581a8235b,serpapi,serpapi:ChIJQ-iLI_XLr5URbGcvtmA6jAI,ChIJQ-iLI_XLr5URbGcvtmA6jAI,Casa para el cuidado del adulto mayor Nova Aurora,Paysandú,,"Tacuarembo 1141, 60000 Paysandú, Departamento de Paysandú",4725 7745,,-32.3088483,-58.081137399999996,Permanently closed,2026-08-02T00:28:58.503Z,internal_contract_risk,new_candidate,,0,,pending,
